srcNodeId	dstNodeId	wallTime	hasUserGesture	method	referrerPolicy
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	8_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	5_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	6_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	7_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	9_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	10_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	11_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	12_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	13_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	14_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	15_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56	16_70EED381A45CE886467251C2D6F69192_4A0AB17FB99C78B780EC6FD043DECB56				
